CURRENTOPERATORNAME,WELL COUNT,CURRENTOPERATORCODE,CURRENTOPERATORCODE,OperatorShort,OperatorAlias,OperatorTicker,CompanyType,Merged,Notes
WAGNER OIL COMPANY,1225,51607,51607,WAGNER,WAGNER,,PRIVATE,NO,
SLAWSON EXPLORATION COMPANY INCORPORATED,1212,30944,30944,SLAWSON,SLAWSON,,PRIVATE,NO,
SUN EXPLORATION & PRODUCTION COMPANY,1199,32278,32278,SUN,SUNOCO,SUN,PUBLIC,NO,
AMERADA PETROLEUM COMPANY,1191,62258,62258,AMERADA,HESS,HES,PUBLIC,YES,
SUNRAY DX OIL COMPANY,1185,32327,32327,SUNRAY,SUNOCO,SUN,PUBLIC,YES,
INDEPENDENCE RESOURCES MANAGEMENT LLC,1181,268107,268107,INDEPENDENCE,INDEPENDENCE,,PRIVATE,NO,
BERRY PETROLEUM COMPANY LLC,1176,255904,255904,BERRY,BERRY,BRRP,PUBLIC,NO,
OMNI OIL & GAS,1173,24934,24934,OMNI,OMNI,,PRIVATE,NO,
DOMINION OKLAHOMA TEXAS EXPL & PROD INC,1170,210038,210038,DOMINION,DOMINION,D,PUBLIC,NO,
PETRO-HUNT LLC,1169,151716,151716,PETRO-HUNT,PETRO-HUNT,,PRIVATE,,
FINLEY RESOURCES INCORPORATED,1163,180035,180035,FINLEY,FINLEY,,PRIVATE,NO,
MID-CONTINENT PETROLEUM CORPORATION,1160,91658,91658,MID-CON PETROLEUM,SUNOCO,SUN,PUBLIC,YES,
ENDURO OPERATING LLC,1159,234777,234777,ENDURO,ENDURO,,PRIVATE,NO,
BONANZA CREEK ENERGY OPERATING CO LLC,1157,226653,226653,BONANZA CREEK,BONANZA CREEK,BCEI,PUBLIC,NO,
BRITISH AMERICAN OIL PRODUCTION CO THE,1154,59386,59386,BRIDWELL,CONOCOPHILLIPS,COP,PUBLIC,YES,
RSP PERMIAN LLC,1140,234851,234851,RSP PERMIAN,RSP PERMIAN,RSPP,PUBLIC,NO,
SYNERGY RESOURCES CORPORATION,1126,124166,124166,SRC,SRC,SRCI,PUBLIC,NO,
RING ENERGY INCORPORATED,1126,245857,245857,RING,RING,REI,PUBLIC,NO,
COSDEN PETROLEUM CORPORATION,1122,7540,7540,COSDEN,COSDEN,,PRIVATE,NO,
CHEVRON TEXACO,1114,212839,212839,CHEVRON,CHEVRON,CVX,PUBLIC,YES,
EQT PRODUCTION TEXAS LLC,1112,259889,259889,EQT TX,EQT TX,,PRIVATE,NO,
T-C OIL COMPANY LLC,1104,238429,238429,T-C,T-C,,PRIVATE,NO,
UNION TEXAS PETROLEUM CORPORATION,1098,34567,34567,UNION TEXAS,WPX,WPX,PUBLIC,NO,acquired by Williams Companies
ELM RIDGE EXPLORATION COMPANY,1097,132605,132605,ELM RIDGE,ELM RIDGE,,PRIVATE,NO,
CITIES SERVICE OIL COMPANY,1094,68023,68023,CITIES SERVICE,OXY,OXY,PUBLIC,NO,
GREAT WESTERN OPERATING COMPANY LLC,1090,250936,250936,GREAT WESTERN,GREAT WESTERN,,PRIVATE,NO,
SMITH PRODUCTION INCORPORATED,1074,86974,86974,SMITH,SMITH,,PRIVATE,NO,
APPROACH OPERATING LIMITED LIABILITY CORP,1071,214825,214825,APPROACH,APPROACH,AREX,PUBLIC,NO,
MERIDIAN OIL INCORPORATED,1071,22433,22433,MERIDIAN,CONOCOPHILLIPS,COP,PUBLIC,YES,Part of Burlington Resources acquired by ConocoPhillips
STATOIL OIL & GAS LP,1060,249324,249324,STATOIL,EQUINOR,EQNR,PUBLIC,NO,name change
ARP PRODUCTION COMPANY LLC,1060,252160,252160,ARP,TITAN,TTEN,PUBLIC,NO,
GETTY OIL COMPANY,1041,12763,12763,GETTY,CHEVRON,CVX,PUBLIC,YES,
QUAIL CREEK OIL CORPORATION,1036,27217,27217,QUAIL CREEK,QUAIL CREEK,,PRIVATE,NO,
GATEWAY RESOURCES USA INCORPORATED,1022,98380,98380,GATEWAY,GATEWAY,,PRIVATE,NO,
URSA OPERATING COMPANY LLC,1016,249599,249599,URSA,URSA,,PRIVATE,NO,
AUGUSTUS ENERGY RESOURCES LLC,1016,256193,256193,AUGUSTUS,AUGUSTUS,,PRIVATE,NO,
ENDURING RESOURCES LLC,1014,217821,217821,ENDURING,ENDURING,,PRIVATE,NO,
