CURRENTOPERATORNAME,WELL COUNT,CURRENTOPERATORCODE,CURRENTOPERATORCODE,OperatorShort,OperatorAlias,OperatorTicker,CompanyType,Merged,Notes
GAUTHIEL,1,447017,447017,,,,,,
MCMON OIL,1,467718,467718,,,,,,
KIMBELL-WSTN DRLG CO,1,459512,459512,,,,,,
HICKEY JESS OIL CORPORATION,1,82337,82337,,,,,,
RAINEY D W,1,167672,167672,,,,,,
NEWLIN I J JR,1,48343,48343,,,,,,
OMRANCO OPERATOR,1,24939,24939,,,,,,
HAGAN & STEWART DRILLING,1,141966,141966,,,,,,
SAM BROADHEAD ETAL,1,424563,424563,,,,,,
ZEMANEK WILLIAM C,1,113355,113355,,,,,,
PLAYTER GAS,1,415159,415159,,,,,,
CASH LENNY D,1,80422,80422,,,,,,
DEERFIELD EXPLORATION,1,114376,114376,,,,,,
MAJOR M H,1,465044,465044,,,,,,
KLAIN ETAL,1,460153,460153,,,,,,
TAYLOR REX,1,208373,208373,,,,,,
FULTON PROD ORI ETAL,1,703647,703647,,,,,,
TRANS-INTERCONTINENTAL,1,108517,108517,,,,,,
RESOURCE ENERGY CORPORATION,1,28183,28183,,,,,,
LONG JOHN M,1,142907,142907,,,,,,
HENZE RAY ET AL,1,410265,410265,,,,,,
DAUGHERTY JR MRS&DUDLEY,1,441548,441548,,,,,,
BURTON FOWLER H,1,244576,244576,,,,,,
QUAD-STATES,1,416350,416350,,,,,,
FORTUNE HANKAMER C,1,276827,276827,,,,,,
ATLANTIC-STANOLIND,1,172433,172433,,,,,,
NLH OIL,1,107021,107021,,,,,,
KELLY & MACKENZIE,1,458867,458867,,,,,,
GARDNER RALPH & ASSOC,1,446766,446766,,,,,,
CHRISTMAS,1,248546,248546,,,,,,
TRI CITY OIL INCORPORATED,1,72122,72122,,,,,,
EPPERSON & STURGELL,1,161601,161601,,,,,,
COASTAL BEND PETROLEUM CORPORATION,1,6909,6909,,,,,,
CLEATON,1,249032,249032,,,,,,
ABBA RESOURCES CORPORATION,1,139998,139998,,,,,,
WELL MANAGEMENT,1,103494,103494,,,,,,
BENZ LYLE,1,116360,116360,,,,,,
WYOTAH PETROLEUM,1,423842,423842,,,,,,
STUART CHARLES B INTERESTS,1,32168,32168,,,,,,
MCHAWK DRLG,1,467299,467299,,,,,,
CURTIS L M POSY SHORT R,1,252727,252727,,,,,,
PAINE & ASSOCIATES & PINNEY E T,1,167078,167078,,,,,,
MCDOWELL E L,1,166020,166020,,,,,,
KENDRICK JIM ETAL,1,459066,459066,,,,,,
DR LUCK,1,269153,269153,,,,,,
NORWEGIAN-AMER,1,473093,473093,,,,,,
DOMINION MONTANA CORPORATION,1,269008,269008,,,,,,
JOHNSON-DONALDSON ETAL,1,457670,457670,,,,,,
FLANAGAN FRED R,1,204750,204750,,,,,,
OCTA OIL,1,473450,473450,,,,,,
CARDINAL-GREAT PLAINS,1,716504,716504,,,,,,
GEORGE & TANKERSLAY,1,447228,447228,,,,,,
DAVIS W B 24-B,1,720079,720079,,,,,,
TRIDON PRODUCTION COMPANY INCORPORATED,1,204135,204135,,,,,,
WYOMING BARGE OIL,1,423820,423820,,,,,,
FULLER JOHN W,1,456372,456372,,,,,,
WALTON FRANK,1,109224,109224,,,,,,
SIPPLE RAY H,1,427460,427460,,,,,,
STEEDMAN PET,1,429746,429746,,,,,,
CENTRAL WEST PETROLEUM,1,247486,247486,,,,,,
LAUGHUNN FRANCIS E,1,461930,461930,,,,,,
GREER BART,1,449036,449036,,,,,,
STOKOLL PIPE & SUPPLY,1,430479,430479,,,,,,
CHAPMAN FORD & SPARKS R,1,248086,248086,,,,,,
BAKER THOMAS C ETAL,1,140274,140274,,,,,,
ARMA GEOPHYSICAL COMPANY,1,140167,140167,,,,,,
ARCHIBALD OIL OPERATING INCORPORATED,1,127767,127767,,,,,,
JOHNSON ALLISON,1,457475,457475,,,,,,
BURT L D,1,244526,244526,,,,,,
SUMMIT OVERSEAS EXPLORATION INCORPORATED,1,129633,129633,,,,,,
AFTON OIL,1,195963,195963,,,,,,
GREY J A,1,200725,200725,,,,,,
HICKEY-WOODLEY-GARSON,1,410646,410646,,,,,,
ROBINSON F-ROBINSON D,1,418622,418622,,,,,,
DIXON & MARCUS,1,267987,267987,,,,,,
LANDRETH PROD SHELL,1,461492,461492,,,,,,
BSW DRILLING INCORPORATED,1,244555,244555,,,,,,
HELLER PET CO,1,409934,409934,,,,,,
JIMBOB EXPLORATION,1,101846,101846,,,,,,
KAHEE C J,1,458417,458417,,,,,,
RIGNEY PET,1,115856,115856,,,,,,
HICKS BILL-HICKS LEE,1,410703,410703,,,,,,
BOWLES EDNA H,1,242675,242675,,,,,,
FIKSDAL-FERLEY OIL,1,276024,276024,,,,,,
MILEY & BAILEY,1,468946,468946,,,,,,
HOWELL H H & VENUS,1,704350,704350,,,,,,
RETSAL DRLG-MURRAY PET,1,718829,718829,,,,,,
GEE&TARVER,1,447095,447095,,,,,,
MARTIN J E ESTATE,1,465728,465728,,,,,,
MANFORD,1,465189,465189,,,,,,
HEWETT B C,1,198769,198769,,,,,,
DUNN M C,1,273720,273720,,,,,,
VANEATON & HALLETT,1,453510,453510,,,,,,
HAM WILLIAM JR,1,407687,407687,,,,,,
ROGER GUY&JIMMIE,1,418797,418797,,,,,,
HUSTON GULF GAS,1,413293,413293,,,,,,
LATERAL OIL & GAS LLC,1,266105,266105,,,,,,
GENOA-WYOMING OIL,1,447181,447181,,,,,,
FOSTER OIL & GAS & KETCHUM OIL,1,162062,162062,,,,,,
SHULER GEORGE & SARGENT,1,426979,426979,,,,,,
MCDOWELL R T ETAL,1,467037,467037,,,,,,
CONDO D R,1,160032,160032,,,,,,
MATHEWS TUTOR & GARRETT,1,466002,466002,,,,,,
GRISHAM CHEYTAR,1,13559,13559,,,,,,
CREST OIL EASTERN PETROLEUM,1,252301,252301,,,,,,
CASTLE GARDEN OIL,1,246919,246919,,,,,,
LEASE L W,1,204996,204996,,,,,,
JONES L L & SONS,1,457998,457998,,,,,,
CLARK W G,1,248641,248641,,,,,,
VANTANA OILS LTD,1,453542,453542,,,,,,
WEBB & STILLEY,1,420807,420807,,,,,,
R F R D A E CARRWAY,1,416473,416473,,,,,,
MCJUNKIN E ETAL,1,467360,467360,,,,,,
KING & BRUMM,1,459595,459595,,,,,,
CRUSADE & ROIDAN,1,252374,252374,,,,,,
JEB EXPLORATION,1,110410,110410,,,,,,
TRI-TEX O&G,1,710795,710795,,,,,,
WICKER E J,1,422119,422119,,,,,,
SWINDLER H F,1,431803,431803,,,,,,
CHRISTIE WILDCAT,1,248505,248505,,,,,,
BRASHEAR,1,135799,135799,,,,,,
CLARK RONALD GENE,1,159761,159761,,,,,,
CROSS STREAMS OIL,1,252028,252028,,,,,,
MINNE KOTA OIL,1,469349,469349,,,,,,
MACKENZIE G,1,464831,464831,,,,,,
SARTAIN,1,424896,424896,,,,,,
JOHNSON-WALKER-ALDRICH,1,457700,457700,,,,,,
MONTREY & ROSS,1,469950,469950,,,,,,
TRADERS PET,1,452184,452184,,,,,,
NELSON L W,1,472056,472056,,,,,,
STAHL-BURRESS,1,429255,429255,,,,,,
NEWTON J I ETAL,1,472401,472401,,,,,,
PENN EXPLORATION LIMITED,1,174958,174958,,,,,,
RICHEY H L,1,13983,13983,,,,,,
MATHEWS CARL F,1,465995,465995,,,,,,
TAYLOR OIL & GAS & COX RUPERT,1,87571,87571,,,,,,
MARIKE PROD,1,465383,465383,,,,,,
CANTEX ENERGY PARTNERS,1,173487,173487,,,,,,
AURORA CONSOLIDATED,1,236892,236892,,,,,,
MEIER ARTHUR E,1,71215,71215,,,,,,
SULLIVAN & CO 3D PROGRAM,1,145036,145036,,,,,,
BRUCE JOSEPH INCORPORATED,1,4517,4517,,,,,,
LUCELINE O&G,1,464240,464240,,,,,,
BROWNING F,1,244052,244052,,,,,,
BECKAMP E J,1,239590,239590,,,,,,
MATLIN PETROLEUM CORPORATION,1,143071,143071,,,,,,
GEM RESOURCES,1,74149,74149,,,,,,
COL JOHN A WAY,1,249876,249876,,,,,,
SEWELL RICHARD K,1,30364,30364,,,,,,
M M & B INCORPORATED,1,196277,196277,,,,,,
FORKER H B,1,204799,204799,,,,,,
MCCARTHY GLENN-S&W CO,1,474526,474526,,,,,,
CLEMISHIRE,1,159818,159818,,,,,,
TEXACO EXPLORATION,1,128002,128002,,,,,,
COPELAND J C,1,250660,250660,,,,,,
KP OPERATIONS CORPORATION,1,245153,245153,,,,,,
SPARKS JAMES C,1,50578,50578,,,,,,
RYE PATCH LIMITED PARTNERSHIP,1,236770,236770,,,,,,
CRABTREE ART,1,160301,160301,,,,,,
HAMILL CLAUD B & F R,1,407715,407715,,,,,,
KITTLE W B,1,185332,185332,,,,,,
RONCO ENERGY,1,29005,29005,,,,,,
DAUGHERTY JAS R,1,253226,253226,,,,,,
TRINITY DRLRS & MAYO,1,452503,452503,,,,,,
LAND FRED,1,165243,165243,,,,,,
FUTURE EXPLORATION INCORPORATED,1,195457,195457,,,,,,
MERRITT RANCH,1,468384,468384,,,,,,
ROBERTSON JOHN L,1,418544,418544,,,,,,
PETRO-TECH OIL & GAS CORPORATION,1,197636,197636,,,,,,
RICHARDSON WM E,1,417960,417960,,,,,,
COBB JAY,1,159871,159871,,,,,,
MONJER LIMITED,1,143330,143330,,,,,,
BADGER OIL COMPANY,1,2155,2155,,,,,,
MOODY ETAL,1,469961,469961,,,,,,
JOCELYN PROD,1,457351,457351,,,,,,
MCALPIN WEIR,1,466363,466363,,,,,,
EASON TRUCKING LLC,1,263198,263198,,,,,,
ODESSA EQUP,1,473470,473470,,,,,,
MURCHISON G B TRUST,1,23608,23608,,,,,,
COLT INVESTMENT,1,116137,116137,,,,,,
YELLOWBANK OIL & GAS,1,69531,69531,,,,,,
TROTTR BOWLNG &HATHAWAY,1,452565,452565,,,,,,
AMBROSIA OIL COMPANY,1,42498,42498,,,,,,
COLORADO MEXICO OIL,1,250251,250251,,,,,,
MEEKER & ANDERSON ETAL,1,468087,468087,,,,,,
BRADFORD RIG & REEL COMPANY,1,158418,158418,,,,,,
ENGLISH OKLAHOMA OIL,1,206705,206705,,,,,,
BREDTHAUER H,1,243340,243340,,,,,,
WYOMASS OIL,1,423819,423819,,,,,,
DILLMAN,1,267964,267964,,,,,,
TOLTEK DRLG-ZATAR INC,1,708734,708734,,,,,,
S O A L,1,134139,134139,,,,,,
GE OIL & GAS LOGGING SERVICES INC,1,237165,237165,,,,,,
LONGNECKER J E,1,463861,463861,,,,,,
DEVINE & BAKER,1,265892,265892,,,,,,
HADLOCK-JANNELL,1,182329,182329,,,,,,
TEAGUE J V,1,87592,87592,,,,,,
SCHRAMM OMAR A,1,425379,425379,,,,,,
HANSON WALT,1,56385,56385,,,,,,
SCOTT E W,1,425579,425579,,,,,,
MCCOLLUM & RYAN,1,466706,466706,,,,,,
MILLER PAUL W,1,469136,469136,,,,,,
WENDEL BROTHERS,1,35815,35815,,,,,,
MURRAY PET-DIXON R,1,471160,471160,,,,,,
MON-O-CO-DUPAR ETAL,1,469790,469790,,,,,,
STRINGER C M,1,106595,106595,,,,,,
GRAHAM & CAM,1,448465,448465,,,,,,
PITTMAN WILLIAM D,1,36375,36375,,,,,,
GIBBS-SMITH,1,447385,447385,,,,,,
NEWTON W F-MANGUM ETAL,1,706145,706145,,,,,,
NORSWORTHY,1,472914,472914,,,,,,
KIDD TOM OIL PROPERTIES,1,55100,55100,,,,,,
JAD-ADDWELL SERVICE INCORPORATED,1,99750,99750,,,,,,
CARMICHAEL J D,1,247245,247245,,,,,,
MOLLENKOPF LOUIS,1,469770,469770,,,,,,
HARDESTY-SUPPES,1,408230,408230,,,,,,
BANNER & VANDEVEER,1,238117,238117,,,,,,
GINTER WARREN & CO-GULF OIL CORPORATION,1,12895,12895,,,,,,
HALEY TJ,1,407492,407492,,,,,,
MARTIN G N,1,165824,165824,,,,,,
SKELLY H W,1,427528,427528,,,,,,
RUCKER J C ETAL,1,419454,419454,,,,,,
MESSMER OIL ET AL,1,65367,65367,,,,,,
GORDON A H,1,162730,162730,,,,,,
SAWTOOTH INCORPORATED,1,209905,209905,,,,,,
SMITH E D DRILLING COMPANY,1,86929,86929,,,,,,
DENVER BROTHERS,1,266844,266844,,,,,,
BUS-RX INCORPORATED,1,4847,4847,,,,,,
EXETER DRLG-WINSLOW,1,703366,703366,,,,,,
POFF HB-CONKLING BROS,1,415234,415234,,,,,,
TULLOUS GOAL & COMPANY,1,88101,88101,,,,,,
BROOKINS & SHAW,1,244078,244078,,,,,,
MCCORMICK-KING PROD CO,1,466771,466771,,,,,,
WHITE SHIELD-STANDARD,1,421857,421857,,,,,,
SMITH BLAIR,1,177975,177975,,,,,,
MABEE,1,148141,148141,,,,,,
MILLER J E,1,183218,183218,,,,,,
MEYERS PETROLEUM,1,468574,468574,,,,,,
GLENCOE REFINING COMPANY,1,162598,162598,,,,,,
ENERMOST RESOURCES INCORPORATED,1,141439,141439,,,,,,
PET INC-SUNRAY MID-CONT,1,718642,718642,,,,,,
TIPPETT & MULL,1,451844,451844,,,,,,
CALLISON W E,1,246342,246342,,,,,,
WELDON C S-KEWANEE OIL,1,421067,421067,,,,,,
KDRAM ALEX,1,458678,458678,,,,,,
MIKEL DLG-REPUBLIC DLG,1,468877,468877,,,,,,
WALGREN C E,1,420141,420141,,,,,,
EICHOLTZ,1,44725,44725,,,,,,
3 G INVESTMENTS INCORPORATED,1,16,16,,,,,,
ROWLING R M-PERKINS S,1,419309,419309,,,,,,
HOWARD BASS,1,412385,412385,,,,,,
BRINKERHOFF-DAVIS-HILL,1,701994,701994,,,,,,
DEJONG & DEJONG,1,254392,254392,,,,,,
GULFBOARD & SALTDOME,1,449557,449557,,,,,,
HERIAN & WEST,1,410311,410311,,,,,,
ANTIBUS & CUMMINGS,1,235369,235369,,,,,,
NORRIS W C MGR INC,1,472903,472903,,,,,,
COX & SCHMIDT,1,251677,251677,,,,,,
GOODBAR K G,1,448136,448136,,,,,,
BUSBEE FILES & HALE,1,244634,244634,,,,,,
STILLWELL OIL CO,1,430363,430363,,,,,,
HARRISON J J,1,45726,45726,,,,,,
BRUCE CHEMICAL SERVICE,1,109474,109474,,,,,,
BURT E K & E M-UNITED N & S,1,244518,244518,,,,,,
QUAKINS OIL COMPANY,1,144057,144057,,,,,,
RAYMOND OIL & GAS CO INC,1,257559,257559,,,,,,
KEMP & HYDEN,1,458975,458975,,,,,,
KIRK CHAS T,1,459942,459942,,,,,,
NOGALES OIL & GAS,1,472755,472755,,,,,,
SPEYRER OIL & GAS,1,120767,120767,,,,,,
WINN C C & SPARTAN,1,422931,422931,,,,,,
MOSBACHER & CENTURY,1,705899,705899,,,,,,
SAMUELS GORDON F ET AL,1,86418,86418,,,,,,
THOMPSON HENRY,1,451511,451511,,,,,,
HUNT W H TRST EST-SHELL,1,704538,704538,,,,,,
FLATWILLOW OIL,1,276916,276916,,,,,,
ALDRICH-LEE-PEELER,1,196135,196135,,,,,,
ROPER A B,1,258025,258025,,,,,,
PARKS & PALMER,1,201419,201419,,,,,,
GRIMMET & BIFFLE,1,45505,45505,,,,,,
JO-DEAN OIL CO,1,457338,457338,,,,,,
JORDAN EUGENE N,1,458138,458138,,,,,,
LAVERNIA LBR CO,1,461966,461966,,,,,,
KINGSLAND WL,1,459795,459795,,,,,,
PEARL E J & BAHIA PET,1,413600,413600,,,,,,
GTF ENERGY LLC,1,254614,254614,,,,,,
WATERS FRANK-GULF OIL,1,219513,219513,,,,,,
CABOT CORP & SHAMROCK,1,702129,702129,,,,,,
P R S OIL COMPANY,1,25215,25215,,,,,,
TROJAN OIL COMPANY,1,34240,34240,,,,,,
MARRS JEAN OIL,1,47467,47467,,,,,,
PENN OIL PROPERTIES,1,413831,413831,,,,,,
CAMPBELL PARTNERS,1,246317,246317,,,,,,
DOUGLAS MAX,1,272581,272581,,,,,,
TWH DRLG,1,452907,452907,,,,,,
LOVEJOY FRANK,1,464024,464024,,,,,,
DELANEY V A JR,1,80979,80979,,,,,,
COLTON WISE,1,250783,250783,,,,,,
WEST TEXAS OIL REPORTS,1,93035,93035,,,,,,
LIDICKER J H,1,463152,463152,,,,,,
LAND OIL COMPANY,1,130800,130800,,,,,,
MORAN-MILES ETAL,1,470213,470213,,,,,,
TRANS TEXAS TRADING,1,111331,111331,,,,,,
FIDEL-THOMAS,1,182690,182690,,,,,,
BARTLEY J H,1,2499,2499,,,,,,
KIRKHAM,1,82923,82923,,,,,,
DOMINO WYOMING OIL COMPANY,1,269010,269010,,,,,,
ADVANCE OIL & GAS COMPANY,1,181734,181734,,,,,,
WOLFE MEALY & WYNONA,1,423233,423233,,,,,,
MASSEY DISPOSAL SYSTEM,1,165860,165860,,,,,,
PELICAN OIL COMPANY,1,48939,48939,,,,,,
AUTOMATED OIL PRODUCTION INCORPORATED,1,140228,140228,,,,,,
HUBBEL DRLG,1,412561,412561,,,,,,
WISE-KENT-SABRE OIL,1,423055,423055,,,,,,
GUARRDIAN O & G,1,703916,703916,,,,,,
MARKS FLOYD,1,165775,165775,,,,,,
WYTEX-ALCO OIL & GAS MONAHAN,1,218035,218035,,,,,,
PRIDDY & BROWNLEE,1,415938,415938,,,,,,
SPEED-BASS-FUCHS,1,428918,428918,,,,,,
HOOD WM,1,411996,411996,,,,,,
HIGHTOWER PATTARF,1,15198,15198,,,,,,
MILLER HICKEY & LAMBERT,1,274350,274350,,,,,,
SHAW I P,1,168518,168518,,,,,,
SULLIVAN E W,1,431227,431227,,,,,,
RATCLIFF & WILBURN,1,416915,416915,,,,,,
ALEXANDER W I,1,232859,232859,,,,,,
ASPIN HAROLD,1,236382,236382,,,,,,
FOLEY C L,1,277399,277399,,,,,,
CHAMBERS & KENNEDY & LIEDTKE 59 LIMITED,1,80459,80459,,,,,,
DOMINICAN OIL,1,269006,269006,,,,,,
DENTON MARSHALL AIKEN,1,266838,266838,,,,,,
BALDWIN J W &ROSS R B,1,237847,237847,,,,,,
BUFALO DRLG-OBRIEN ETAL,1,716328,716328,,,,,,
KEMVERY OIL & RFG,1,459022,459022,,,,,,
INTERNATIONAL UTILITIES,1,172916,172916,,,,,,
CROSBY & NIBLACK DESANTO,1,251996,251996,,,,,,
JERONIMUS & BECHTOLD,1,106170,106170,,,,,,
AERIES OIL & GAS,1,111514,111514,,,,,,
RICHARDSON SUPPLY CO,1,417954,417954,,,,,,
BRIDGES OIL COMPANY ET AL,1,4162,4162,,,,,,
BRITTEN & DECHON,1,243805,243805,,,,,,
CRISWELL O E,1,252404,252404,,,,,,
LAURLE O&G,1,461947,461947,,,,,,
LYNCH B ETAL,1,464521,464521,,,,,,
TEMPLE CC,1,450765,450765,,,,,,
WITT ERIC M D,1,88913,88913,,,,,,
SMITH GERALD E,1,31043,31043,,,,,,
MCLAUGHLIN DAN W,1,261789,261789,,,,,,
BRESHEARS & MURPHY,1,243183,243183,,,,,,
MONCRIEF-TRUMAN,1,705834,705834,,,,,,
BAAKE W E,1,237182,237182,,,,,,
SCOTT STEVE ENGINEERING,1,30122,30122,,,,,,
HUMPHRIES,1,175811,175811,,,,,,
MANDY OIL & GAS,1,117885,117885,,,,,,
COLO WYO OIL,1,716666,716666,,,,,,
O M K PETROLEUM,1,473308,473308,,,,,,
LEIBER & LEIBER,1,462600,462600,,,,,,
STRAWN PARTNERS OPERATING LLC,1,270297,270297,,,,,,
CAREY & NORBERRY,1,246945,246945,,,,,,
PHEFFER & HOGUE,1,414519,414519,,,,,,
RHINE PET IND OF UTAH,1,417777,417777,,,,,,
TEX-LAND OIL CORPORATION,1,33073,33073,,,,,,
NORTIFF OIL & GAS INCORPORATED,1,24379,24379,,,,,,
FINK & RUSSELL,1,276431,276431,,,,,,
HAIRE F S,1,45583,45583,,,,,,
HILL R B,1,410911,410911,,,,,,
HAWN BROS & ARMSTRONG,1,704154,704154,,,,,,
GMM OIL COMPANY,1,56805,56805,,,,,,
PRICE - BROWN,1,415891,415891,,,,,,
GRIMES RUSSELL,1,200776,200776,,,,,,
GULLATT-KIRKMAN,1,449561,449561,,,,,,
JUDGE KEN & LESTER,1,119920,119920,,,,,,
AARON O L,1,195652,195652,,,,,,
HAYNES GD ETAL,1,409414,409414,,,,,,
WEBSTER MIKE-SHEETS R P,1,220088,220088,,,,,,
HOLDER THRASH ETAL,1,411595,411595,,,,,,
MORRIS-DRITCH,1,48121,48121,,,,,,
BRINKMEYER THEO,1,243677,243677,,,,,,
ELLENBOGEN BENJAMIN,1,275010,275010,,,,,,
RAIDER RESOURCES,1,112426,112426,,,,,,
FAIRBURN OIL COMPANY,1,276076,276076,,,,,,
DREL PET,1,104647,104647,,,,,,
DERRICKSON R E,1,267647,267647,,,,,,
JENKINS CHENEY & DODGE,1,164469,164469,,,,,,
DOJAC OIL,1,109937,109937,,,,,,
HARPER-WOOD&WOLFE GLEN,1,704117,704117,,,,,,
S & M ROYALTY,1,124979,124979,,,,,,
C B GAS GATHERING INCORPORATED,1,59628,59628,,,,,,
OPEN BEACHES LLC,1,267455,267455,,,,,,
JACOBS & NELSON ETAL,1,456862,456862,,,,,,
CHI & REP NAT GAS,1,402687,402687,,,,,,
HATCH & SISLER,1,409076,409076,,,,,,
MUSGRAVE GRADY ETAL,1,471238,471238,,,,,,
HAZOCO PRODUCTION I LTD,1,215037,215037,,,,,,
COOPERATIVE ENERGY DEV,1,113315,113315,,,,,,
HIGHT FRED,1,410771,410771,,,,,,
MURHY OIL PENNSYLVANIA,1,471046,471046,,,,,,
1-2-3 OPERATING LIMITED LIABILITY CORP,1,212892,212892,,,,,,
CAMPBELL WARD,1,159188,159188,,,,,,
LIPSCOMB & SCHNITE PROD,1,463442,463442,,,,,,
MCCLELLAND J C,1,466625,466625,,,,,,
WALKER REX & ASSOC,1,420186,420186,,,,,,
LA PIERRE,1,461046,461046,,,,,,
RAMPAR ASSOCIATES,1,27678,27678,,,,,,
LANO OIL COMPANY,1,46876,46876,,,,,,
TALVEZ OIL COMPANY,1,87529,87529,,,,,,
MARTIN WH-ROBERTS GC,1,465781,465781,,,,,,
WEBB J H,1,420821,420821,,,,,,
MARKAHOMA O&G,1,465422,465422,,,,,,
VERNON E FAULCONER INCORPORATED,1,132492,132492,,,,,,
MORRIS D R,1,48108,48108,,,,,,
MEYERS A G,1,468549,468549,,,,,,
BROWN PETE S DRILLING,1,244207,244207,,,,,,
HICKS ENERGY,1,111860,111860,,,,,,
CARTER W M OIL,1,246519,246519,,,,,,
WESTERN ALLIES,1,274590,274590,,,,,,
JR SHARP & CORSICANNA,1,458233,458233,,,,,,
KINELER J D,1,459591,459591,,,,,,
BRAZOS SALTWATER DISPOSAL LIMITED,1,4093,4093,,,,,,
TAYLOR H DRLG,1,450582,450582,,,,,,
WILLS DICK OIL,1,422627,422627,,,,,,
CADOKLA OIL SYNDICATE,1,159057,159057,,,,,,
PRE OIL COMPANY,1,26874,26874,,,,,,
RUTHCO OIL LIMITED LIABILITY CORP,1,217587,217587,,,,,,
DAWS CHARLES A,1,80935,80935,,,,,,
CENTRAL SUPPLY COMPANY,1,63004,63004,,,,,,
RIO SERRICO OIL,1,144296,144296,,,,,,
MCDORMAN F ETAL,1,467014,467014,,,,,,
WILSON H E,1,36578,36578,,,,,,
WRIGHT T W,1,423713,423713,,,,,,
FLETCHER BROTHERS COMPANY,1,57279,57279,,,,,,
OBRIEN & JOSLIN,1,166861,166861,,,,,,
GAYLORD J L,1,447054,447054,,,,,,
SONERRA RESOURCES CORPORATION,1,31291,31291,,,,,,
ANDERSON & COOKE ET AL,1,58411,58411,,,,,,
RUBIN D,1,419421,419421,,,,,,
BOB BUNCH DBA B & R OIL,1,260172,260172,,,,,,
LEE OIL COMPANY INCORPORATED,1,214065,214065,,,,,,
WILSON W D,1,422776,422776,,,,,,
NATURAL GAS CORPORATION OF AMERICA,1,226679,226679,,,,,,
BURNS DORIS,1,76676,76676,,,,,,
VESSELS TOM-CALVIN R,1,224963,224963,,,,,,
FAIRFIELD OIL,1,63642,63642,,,,,,
COLBERT,1,249883,249883,,,,,,
CAMBELL GLENN A,1,246057,246057,,,,,,
RISEDEN-STANDARD RES,1,119323,119323,,,,,,
GULF STATES PRODUCTION COMPANY,1,127274,127274,,,,,,
HAWKINS E P ETAL,1,409230,409230,,,,,,
ERGON EXPLORATION INCORPORATED,1,10751,10751,,,,,,
FLYNN O F,1,277356,277356,,,,,,
EASTERN OKLAHOMA PETROLEUM,1,273450,273450,,,,,,
WEAVER DALE INCORPORATED,1,75391,75391,,,,,,
WILLIAMS SYSTEMS OIL,1,113816,113816,,,,,,
MUSTANG DRILLING INCORPORATED,1,23675,23675,,,,,,
SCHKADE & SCHNEIDER,1,201907,201907,,,,,,
HARDEN B V,1,45659,45659,,,,,,
BARNETT H F TRUSTEE,1,238612,238612,,,,,,
MOORE & PARRISH,1,224998,224998,,,,,,
WYOMING EXP AND DEV,1,423823,423823,,,,,,
EVANS E J,1,275561,275561,,,,,,
HANLON ROYAL,1,408037,408037,,,,,,
MCNAIR DAVID,1,105540,105540,,,,,,
GULFSIDE INC,1,449558,449558,,,,,,
ALEXANDER & GARRETT OIL,1,241667,241667,,,,,,
P & P CEMENTING LLC,1,246466,246466,,,,,,
EDWIN FOSTER BLAIR,1,10255,10255,,,,,,
AMERICAN PIPELINE & EXPLORATION,1,117749,117749,,,,,,
BOYNTON PETROLEUM COMPANY,1,158399,158399,,,,,,
CHERRYWOOD CORPORATION,1,76225,76225,,,,,,
CANNON B G,1,73206,73206,,,,,,
TEXITA OIL MEBANE R D,1,451139,451139,,,,,,
WHITE BROTHERS,1,67513,67513,,,,,,
KING R H & OVERTON REF,1,459707,459707,,,,,,
CARR F WILLIAM & GRAHAM,1,716512,716512,,,,,,
S & L FARM & RANCH SUPPLY INCORPORATED,1,29411,29411,,,,,,
FAUGUE D,1,194881,194881,,,,,,
GILBERT ROBERT G,1,447501,447501,,,,,,
CARTER DONALD L,1,247831,247831,,,,,,
OSBORNE W D,1,474147,474147,,,,,,
STEIN-WEATHERLY,1,429848,429848,,,,,,
EL PASO NAT&TEXAS CRUDE,1,716957,716957,,,,,,
BIG INDIAN,1,241060,241060,,,,,,
GEMER A B,1,447134,447134,,,,,,
AMES OIL,1,1046,1046,,,,,,
ADAIR,1,199559,199559,,,,,,
CAPITOL ENGINEERING COMPANY,1,159266,159266,,,,,,
BOLES ODELL,1,200935,200935,,,,,,
LINDSAY JAMES B & ASSOCIATES,1,142855,142855,,,,,,
BRINK WM INDV,1,158568,158568,,,,,,
PORTABLE,1,415442,415442,,,,,,
GOLDEN MONET INCORPORATED,1,13064,13064,,,,,,
KM PRODUCTION COMPANY,1,18797,18797,,,,,,
HUFF STEVEN G,1,123676,123676,,,,,,
SANCHEZ-OBRIEN & W O C,1,710567,710567,,,,,,
L B SENTER PET CO,1,460898,460898,,,,,,
HUNTLEY B J,1,413195,413195,,,,,,
MACNAUGHTON LEWIS W,1,173768,173768,,,,,,
TRIO H CORP,1,103913,103913,,,,,,
BENGAL PRODUCING COMPANY,1,2879,2879,,,,,,
DPLA,1,445155,445155,,,,,,
CREMIN T O JR,1,252199,252199,,,,,,
SOUTH CRUDE OIL,1,428697,428697,,,,,,
KLINE M W ETAL,1,460215,460215,,,,,,
UTE ENERGY COMPANY,1,73984,73984,,,,,,
MEDLIN DON,1,115762,115762,,,,,,
WEBB BILL ETAL,1,420815,420815,,,,,,
LADD LOU-SILLIX ETAL,1,474465,474465,,,,,,
TROVE ENERGY LLC,1,275289,275289,,,,,,
OUG WILLIAM,1,474246,474246,,,,,,
WHYTE ETAL,1,422083,422083,,,,,,
CLARKE & HOWARD,1,248718,248718,,,,,,
DICKSON GEO,1,267115,267115,,,,,,
MOORE REX M,1,470124,470124,,,,,,
