WELL_KEY,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,OIL_CUM_3MOS,OIL_CUM_6MOS,OIL_CUM_12MOS,GOR_30,GOR_60,GOR_90
33105041530000,11794,1495.711,1629.845,39394,83814,111897,1091.748331202954,1109.640776414790,1123.918079881382
35073252090000,9517,2805.826,NULL,39238,66530,100093,2280.135722364426,2446.156445345497,2602.668068278520
05123380720000,6288,NULL,NULL,NULL,NULL,NULL,2535.561129541225,2535.561129541225,2535.561129541225
05123382270000,9498,NULL,NULL,32068,66116,NULL,3107.584062832365,3119.116913354398,3096.405319681709
33105038040000,9230,267.2769,163.9718,40095,72235,101751,1833.037300177619,1523.507709772017,1156.947378087978
35049250340000,10174,1132.43,803.4267,44125,66042,87671,5074.626010202327,4907.164634146341,5037.303116147308
05123411490000,8955,865.3651,576.4061,21386,40286,61426,1982.976335235244,1902.329222939909,1989.096797409139
05123370080000,7164,818.1108,1175.658,27809,55126,81984,3786.586429443572,3931.158253186691,4130.173111147063
33105036100000,9424,622.7225,1399.978,32203,120891,225947,1882.750015995905,2136.447012879430,2130.797636632200
33061029310000,9370,478.561,359.8358,30013,69213,103078,717.294975799304,714.916243831236,737.015306122448
33105039270000,9013,305.0508,191.5764,23309,32777,56061,1189.060973908190,1272.592446114297,1386.328427575522
33061024030000,9298,655.2442,429.8619,23011,50063,90563,912.862762562161,1012.906870627091,973.279144932637
33061031780000,5341,1136.17,819.0686,34660,49790,71811,702.352274337537,801.811425917324,948.101164831657
33053059140100,7897,265.4438,379.3261,40198,49371,67514,1538.308896483298,1534.182558227180,1539.329517579721
05123386220000,9045,975.7487,598.5647,34079,69502,107273,1585.065789473684,1605.989320787125,1647.150156677864
05123387910000,4016,NULL,NULL,7297,12284,20198,4517.459138187221,2922.292748605501,2547.622310538577
33105030670000,8758,473.5556,445.1424,32384,58077,106834,2214.895465930583,2111.888564949789,1709.452860898960
35017246410000,4585,1302.747,1317.061,3809,6125,9078,80960.641399416909,95187.876960193003,109691.738908720040
33105037060000,4132,694.5576,1653.161,14090,25883,46285,721.398762411857,585.345608210081,536.758940956516
05123414510000,9679,NULL,NULL,20583,44565,106823,1663.493502568751,889.185041595993,624.606394144846
05123419410000,6362,1049.144,927.728,25542,46189,65010,2071.611471491976,1986.674166053735,2137.114657838023
33053060330000,9540,1489.767,697.8451,84617,139822,209492,2013.836892389709,1952.988061555448,1780.221468499237
05123419090000,4520,773.0262,1138.507,19557,41622,62734,2648.300949339011,2914.485079427921,3098.651448511504
05123415040000,5402,782.3455,1186,21639,41525,60808,1830.198143967895,2089.142189098348,2274.032042723631
33025025460000,9912,254.2714,219.392,7033,23186,50061,1346.689160691691,1159.732154466259,1148.641119296725
35011235280000,9626,1956.162,1147.722,51431,99971,168313,2051.838689740420,3106.381334981458,2593.638483132702
05123379370100,4058,NULL,NULL,12327,30474,51882,3346.243881676952,4064.968745843862,4027.508682142204
05123420720000,4952,792.6543,1132.802,16353,31858,47840,3528.310883299558,3750.567205225163,4062.677197245848
05123419550000,5654,459.6316,648.2266,18767,40299,64265,2631.615598885793,2779.985766683089,2868.376671765305
05123428530000,4067,1079.635,854.8004,24607,41580,61275,4064.668769716088,4053.119829827463,4062.122810719561
33061036360000,9417,1034.198,1233.449,61155,131187,NULL,1457.999793864018,1461.228914777112,1050.724063210189
